Fact,2007-12-29,2008-12-27,2009-06-27,2009-09-26,2009-12-26,2010-03-27,2010-05-12,2010-06-26,2010-09-25,2010-12-25,2011-03-26,2011-06-25,2011-06-26,2011-09-24,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-02-28,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-05-13,2014-05-31,2014-06-28,2014-09-22,2014-09-27,2014-12-27,2015-02-24,2015-02-28,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-03-26,2016-05-31,2016-06-25,2016-09-24,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2017-12-31,2018-03-31,2018-06-08,2018-06-30,2018-09-29,2018-10-31,2018-12-29,2019-01-01,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-06-26,2021-09-25,2021-12-25,2022-03-26,2022-06-25,2022-09-24,2022-12-24,2022-12-31,2023-02-28,2023-04-01,2023-07-01,2023-09-30,2023-12-30,2024-03-30,2024-06-29,2024-09-28,2024-12-28
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPensions,,,,,,,,,,31251000,,,,,17006000,,,,25770000,,,,,30879000,,,,,,,30025000,,,,,,32278000,,,,,80425000,,,,47459000,,,,,,,36328000,,,,,35539000,,,,30623000,,,,134000,,,,,,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,,,,,,14790000,,,,,16898000,,,,18020000,,,,,17038000,,,,,,,17446000,,,,,,18320000,,,,,16549000,,,,13373000,,,,,,,8268000,,,,,16148000,,,,17203000,,,,21241000,,,,,25927000,,,,,36883000,,,,31340000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsSelfInsurance,,,,,,,,,,,,,,,,,,,1283000,,,,,1508000,,,,,,,882000,,,,,,1408000,,,,,1071000,,,,818000,,,,,,,644000,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsWarrantyReserves,,,,,,,,,,3613000,,,,,4900000,,,,5463000,,,,,6552000,,,,,,,6920000,,,,,,12818000,,,,,9436000,,,,4602000,,,,,,,3914000,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,,208130000,,,,,123522000,,,,120979000,,,,,107767000,,,,,,,104487000,,,,,,90837000,,,,,81923000,,,,27864000,,,,,,,33228000,,,,,35215000,,,,44451000,,,,54256000,,,,,48974000,,,,,48632000,,,,44920000
DeferredTaxExpenseFromStockOptionsExercised,,,,,,,,,,,,,,,-3033000,,,-4212000,-5494000,,-226000,-305000,-4630000,-5306000,-2296000,,,-3576000,,-3916000,-4264000,,,-345000,1394000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxLiabilities,,,,,,,,,,110508000,,,,,106615000,,,,107088000,,,,,101650000,,,,,,,115490000,,,,,,101913000,,,,,96691000,,,,81736000,,,,,,,77618000,,,,,114799000,,,,114068000,,,,2149000,,,,,8574000,,,,,,,,,
DeferredTaxLiabilitiesDeferredExpenseCapitalizedInventoryCosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5352000,,,,,,3087000,,,,,2161000,,,,1805000,,,,,,,1064000,,,,,5352000,,,,5705000,,,,0,,,,,,,,,,,,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,,,,,,62281000,,,,,60684000,,,,60134000,,,,,57787000,,,,,,,60316000,,,,,,54162000,,,,,50405000,,,,39613000,,,,,,,44850000,,,,,49686000,,,,43699000,,,,48244000,,,,,52750000,,,,,52017000,,,,48571000
DeferredTaxLiabilitiesLeasingArrangements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22066000,,,,23715000,,,,41128000,,,,,40708000,,,,,42717000,,,,41627000
DeferredTaxLiabilitiesNoncurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71797000,,,,,66200000,35669000,39644000,,35541000,28822000,35803000,39030000,32642000,28183000,34906000,38356000,39669000,,34492000,45076000,,43489000,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxLiabilitiesOther,,,,,,,,,,4514000,,,,,9380000,,,,11198000,,,,,7206000,,,,,,,6738000,,,,,,3517000,,,,,6164000,,,,1819000,,,,,,,7291000,,,,,6067000,,,,5248000,,,,5041000,,,,,4941000,,,,,6616000,,,,5375000
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,,,,,43713000,,,,,36551000,,,,35756000,,,,,36657000,,,,,,,43084000,,,,,,41147000,,,,,37961000,,,,26826000,,,,,,,25477000,,,,,31628000,,,,35701000,,,,37686000,,,,,45300000,,,,,42299000,,,,36342000
DefinedBenefitPensionPlanLiabilitiesNoncurrent,,,,,,,,116816000,124663000,104171000,110900000,100069000,,96990000,68024000,60577000,60182000,62667000,112043000,,96841000,98707000,99135000,154397000,139047000,,,143114000,,136808000,150124000,,,127708000,135068000,129600000,179323000,170203000,,164329000,156524000,209470000,187276000,194517000,199562000,189552000,,195490000,,183688000,179877000,,143904000,,133761000,130210000,121282000,140007000,114359000,111525000,113380000,118523000,115869000,112969000,105175000,536000,0,0,0,,,,,,,,,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeBeforeTax,,,,,,,,,,28952000,,,,,60014000,,,,12617000,,,,,-38808000,,,,,,,-55953000,,,,,,-106959000,,,,,-156878000,,,,-168250000,,,,,,,-130188000,,,,,-143726000,,,,-165258000,,,,-60940000,,,,,-57911000,,,,,-89151000,,,,-75352000
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesBeforeTax,,,,,,,,,,28952000,,,,,31093000,,,,-48524000,,,,,-49421000,,,,,,,-18980000,,,,,,-53661000,,,,,-66957000,,,,-1789000,,,,,,,44760000,,,,,-10839000,,,,-16731000,,,,102529000,,,,,-2915000,,,,,-28071000,,,,10888000
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetPriorServiceCostCreditBeforeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12056000,,,,,,,,,-814000,,,,550000,,,,,493000,,,,,498000,,,,512000
DefinedBenefitPlanActualReturnOnPlanAssets,,,,,,,,,,11275000,,,,,67474000,,,,41345000,,,,,7676000,,,,,,,72820000,,,,,,-306000,,,,,80538000,,,,40842000,,,,,,,-32120000,,,,,86081000,,,,89988000,,,,48637000,,,,,-228493000,,,,,10966000,,,,-24723000
DefinedBenefitPlanActuarialGainLoss,,,,,,,,,,,,,,,,,,,-69859000,,,,,-37235000,,,,,,,66889000,,,,,,28130000,,,,,125765000,,,,25154000,,,,,,,95480000,,,,,-79485000,,,,-87855000,,,,77379000,,,,,248252000,,,,,-17692000,,,,58156000
DefinedBenefitPlanActuarialNetGainsLosses,,,,,,,,,,28952000,,,,,-16187000,,,,-69859000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanAmortizationOfGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,-1360000,-710000,-736000,-768000,-2982000,,-804000,,-764000,-750000,,-3046000,,-658000,-634000,-617000,-2051000,-711000,-720000,-748000,-2437000,-832000,-843000,-827000,-2750000,-132000,-124000,-115000,,,,,,,,-381000,-381000,-396000,-1537000
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,513000,,,,513000,,,,550000,132000,124000,115000,,493000,,122000,124000,128000,498000,127000,127000,132000,512000
DefinedBenefitPlanAmountsThatWillBeAmortizedFromAccumulatedOtherComprehensiveIncomeLossInNextFiscalYear,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanAmountToBeAmortizedFromAccumulatedOtherComprehensiveIncomeLossNextFiscalYear,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationDiscountRate,,,,,,,,,,0.055,,,,,0.048,,,,0.046,,,,,0.0445,,,,,,,0.0365,,,,,,0.0375,,,,,0.028,,,,0.0255,,,,,,,0.029,,,,,0.0205,,,,0.014,,,,0.019,,,,,0.048,,,,,0.045,,,,0.055
DefinedBenefitPlanAssumptionsUsedCalculatingBenefitObligationRateOfCompensationIncrease,,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostDiscountRate,,,,,,,,,,0.056,,,,,0.055,,,,0.048,,,,,0.046,,,,,,,0.0445,,,,,,0.0365,,,,,0.0375,,,,0.028,,,,,,,0.0255,,,,,0.029,,,,0.0205,,,,0.0115,,,,,0.018,,,,,0.049,,,,0.045
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets,,,,,,,,,,0.0551,,,,,0.054,,,,0.044,,,,,0.042,,,,,,,0.055,,,,,,0.05,,,,,0.0515,,,,0.0422,,,,,,,0.0429,,,,,0.0425,,,,0.0418,,,,0.0396,,,,,0.0348,,,,,0.0485,,,,0.0505
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostRateOfCompensationIncrease,,,,,,,,,,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanBenefitObligation,,,,,,,478993000,,,463807000,,,,,492519000,,,,597767000,,,,,651857000,,,,,,,692283000,,,,,,697449000,,,,,696137000,,,,783301000,,,,,,,647440000,,,,,744403000,,,,860173000,,,,761706000,,,,,435711000,,,,,477763000,,,,414657000
DefinedBenefitPlanBenefitObligationBenefitsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22172000,,,,,,,28207000,,,,,20769000,,,,18212000,,,,22952000,,,,,20175000,,,,,20683000,,,,21264000
DefinedBenefitPlanBenefitsPaid,,,,,,,,,,5698000,,,,,11539000,,,,11722000,,,,,11573000,,,,,,,14498000,,,,,,18346000,,,,,17792000,,,,22172000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanContributionsByEmployer,,,,,,,,,,938000,,,,,11860000,,,,11591000,,,,,17619000,,,,,,,18173000,,,,,,16500000,,,,,1426000,,,,40245000,,,,,,,1537000,,,,,18461000,,,,35399000,,,,1924000,,,,,17155000,,,,,17345000,,,,19599000
DefinedBenefitPlanExpectedAmortizationNextFiscalYear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,,,,,3008000,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsInFiveFiscalYearsThereafter,,,,,,,,,,,,,,,70029000,,,,73512000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearFive,,,,,,,,,,,,,,,12803000,,,,13703000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearFour,,,,,,,,,,,,,,,12494000,,,,13380000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearOne,,,,,,,,,,,,,,,11414000,,,,12413000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearThree,,,,,,,,,,,,,,,12186000,,,,13058000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsInYearTwo,,,,,,,,,,,,,,,11723000,,,,12736000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths,,,,,,,,,,,,,,,,,,,,,,,,12681000,,,,,,,14000000,,,,,,18500000,,,,,16650000,,,,23879000,,,,,,,27790000,,,,,21840000,,,,19935000,,,,23045000,,,,,20432000,,,,,21641000,,,,21626000
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15870000,,,,,,20900000,,,,,18900000,,,,27117000,,,,,,,31600000,,,,,24587000,,,,22376000,,,,26260000,,,,,22970000,,,,,24442000,,,,24266000
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour,,,,,,,,,,,,,,,,,,,,,,,,14163000,,,,,,,15400000,,,,,,20300000,,,,,18250000,,,,26308000,,,,,,,30585000,,,,,23802000,,,,21698000,,,,25455000,,,,,22366000,,,,,23678000,,,,23637000
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree,,,,,,,,,,,,,,,,,,,,,,,,13669000,,,,,,,14935000,,,,,,19700000,,,,,17800000,,,,25500000,,,,,,,29695000,,,,,23148000,,,,21155000,,,,24650000,,,,,21641000,,,,,23042000,,,,22883000
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo,,,,,,,,,,,,,,,,,,,,,,,,13175000,,,,,,,14500000,,,,,,19100000,,,,,17200000,,,,24689000,,,,,,,28680000,,,,,22494000,,,,20477000,,,,23850000,,,,,21036000,,,,,22278000,,,,22254000
DefinedBenefitPlanExpectedReturnOnPlanAssets,,,,,,,,,,10934000,,,,,20194000,4752000,9544000,14323000,19168000,,4938000,4875000,4910000,19862000,6535000,,,6640000,,6605000,26029000,,,6261000,6344000,6341000,25224000,6064000,,6084000,5565000,22986000,4877000,5054000,5277000,20486000,,6114000,,5815000,5704000,,23175000,,5135000,4943000,4815000,20000000,5598000,5664000,5887000,23215000,7005000,7097000,6957000,27763000,6202000,5818000,5400000,,23131000,,5317000,5477000,5536000,21804000,5592000,5591000,5808000,22545000
DefinedBenefitPlanFairValueOfPlanAssets,,,,,,,351056000,,,359636000,,,,,424495000,,,,485724000,,,,,497460000,,,,,,,542159000,,,,,,5181000,,,,,2380000,,,,18451000,,,,,,,61546000,,,,,604396000,,,,741650000,,,,761170000,,,,,459927000,,,,,493167000,,,,461177000
DefinedBenefitPlanForeignCurrencyExchangeRateChangesBenefitObligation,,,,,,,,,,2656000,,,,,-1579000,,,,23666000,,,,,14978000,,,,,,,-40632000,,,,,,-29232000,,,,,-132781000,,,,66030000,,,,,,,-42108000,,,,,21324000,,,,32224000,,,,-8032000,,,,,-70119000,,,,,23488000,,,,-4822000
DefinedBenefitPlanForeignCurrencyExchangeRateChangesPlanAssets,,,,,,,,,,2065000,,,,,-2936000,,,,20015000,,,,,10995000,,,,,,,-31796000,,,,,,-21881000,,,,,-95631000,,,,48167000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanFundedStatusOfPlan,,,,,,,-127937000,,,-104171000,,,,,-68024000,,,,-112043000,,,,,-154397000,,,,,,,-150124000,,,,,,-179323000,,,,,-209470000,,,,-189552000,,,,,,,-143904000,,,,,-140007000,,,,-118523000,,,,-536000,,,,,24216000,,,,,15404000,,,,46520000
DefinedBenefitPlanInterestCost,,,,,,,,,,16654000,,,,,25643000,5773000,11594000,17399000,23445000,,6571000,6487000,6535000,26431000,7197000,,,7312000,,7274000,28667000,,,6111000,6189000,6186000,24614000,6448000,,6659000,6092000,23496000,4321000,4478000,4676000,18152000,,4716000,,4486000,4400000,,17878000,,4345000,4182000,4075000,16923000,3124000,3160000,3285000,12954000,2497000,2530000,2479000,9896000,3365000,3157000,2930000,,12551000,,5256000,5414000,5472000,21555000,5242000,5242000,5445000,21136000
DefinedBenefitPlanNetPeriodicBenefitCost,,,,,,,,,,5874000,,,,,5449000,1021000,2050000,3076000,4277000,,1633000,1612000,1625000,6569000,662000,,,672000,,669000,2638000,,,-150000,-155000,-155000,-610000,384000,,575000,527000,1870000,154000,160000,167000,648000,,-594000,,-565000,-554000,,-2251000,,-132000,-127000,-123000,-513000,-1763000,-1784000,-1854000,-7311000,-3676000,-3724000,-3651000,-14567000,-2705000,-2537000,-2355000,,-10087000,,61000,61000,64000,249000,158000,159000,165000,640000
DefinedBenefitPlanOtherCosts,,,,,,,,,,,,,,,1543000,,,,1612000,,,,,1812000,,,,,,,1711000,,,,,,1641000,,,,,1357000,,,,1484000,,,,,,,1396000,,,,,1700000,,,,1763000,,,,1763000,,,,,1600000,,,,,1700000,,,,2500000
DefinedBenefitPlanPlanAmendments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12056000,,,,,9500000,,,,949000,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanPlanAssetsBenefitsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22172000,,,,,,,28207000,,,,,20769000,,,,18212000,,,,22952000,,,,,20175000,,,,,20683000,,,,21264000
DefinedBenefitPlanPlanAssetsForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48167000,,,,,,,-31423000,,,,,17087000,,,,30079000,,,,-8089000,,,,,-69730000,,,,,25612000,,,,-5602000
DefinedBenefitPlanServiceCost,,,,,,,,,,154000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanSettlementsBenefitObligation,,,,,,,,,,,,,,,,,,,,,,,,12981000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanSettlementsPlanAssets,,,,,,,,,,,,,,,,,,,,,,,,12981000,,,,,,,14498000,,,,,,18346000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefinedContributionPlanCostRecognized,,,,,8700000,,,,,8300000,,,,,8700000,,,,10000000,,,,,11600000,,,,,,,12600000,,,,,,11700000,,,,,10900000,,,,11800000,,,,,,,12300000,,,,,12600000,,,,14800000,,,,16000000,,,,,18300000,,,,,20000000,,,,19100000
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,,,,,,,,,,,,,,,,,,,,,,,16469000,,,,,,,15557000,,,,,,14919000,,,,,12340000,,,,13490000,,,,,,,12690000,,,,,17132000,,,,17765000,,,,17765000,,,,,16000000,,,,,16700000,,,,16700000
Depreciation,,,,,,,,,,46791000,,,,,54352000,,,,55559000,,,,,62291000,,,,,,,73395000,,,,,,72805000,,,,,66482000,,,,69046000,,,,,,,67499000,,,,,64177000,,,,63890000,,,,70223000,,,,,73938000,,,,,78138000,,,,81181000
DepreciationDepletionAndAmortization,,39597000,21710000,33639000,44748000,11209000,,24580000,41829000,59663000,17165000,35870000,,53193000,74560000,17340000,34367000,52262000,70218000,,19208000,38186000,57417000,77436000,19601000,,,43368000,,64460000,89328000,,,23901000,47761000,70859000,91144000,20598000,,40804000,61242000,82417000,20827000,41754000,63500000,84957000,,21178000,,41657000,62018000,,82827000,,20253000,40583000,60424000,82264000,20343000,40584000,61523000,82892000,21031000,44063000,67764000,92577000,23884000,48012000,72803000,,97167000,,24558000,48792000,73638000,98708000,23536000,46526000,70541000,95395000
DerivativeAssetsLiabilitiesAtFairValueNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-826000,,,,3350000,2879000,,9147000,,13743000,-3213000,9408000,3247000,24625000,7268000,3548000,-5911000,8849000,21215000,7001000,-4007000,17633000,3432000,8690000,,1404000,,2793000,437000,4684000,2860000,-1507000,-1613000,-3358000,1320000
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74000,,,-19000,-74000,,0,,-1190000,758000,,993000,,1205000,714000,-453000,1579000,903000,709000,1766000,4459000,477000,1066000,10732000,28497000,2952000,-1062000,-862000,,2381000,,-3458000,-565000,-537000,-5131000,1320000,-107000,-1320000,-1825000
DilutiveSecurities,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,-12011000,,,,,,,0,,,,,,0,,,,,13652000,,,,-12568000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DividendsCommonStockCash,,13467000,7351000,11292000,16193000,3947000,,8293000,12641000,16992000,4358000,9115000,,13875000,18642000,4778000,10763000,16754000,22756000,,6020000,12713000,19412000,26118000,6721000,,,16651000,,25950000,35036000,,,8889000,17603000,26249000,34816000,8527000,,17027000,25482000,33921000,8468000,16939000,25417000,33927000,,8493000,,8400000,8311000,,33426000,,8213000,8126000,8085000,32503000,9625000,9598000,9614000,38393000,10625000,10606000,10617000,42472000,11721000,11743000,11733000,,46939000,,12634000,12607000,12532000,49898000,12113000,12098000,12021000,48251000
DividendsPayableAmount,,,,,3944000,,,4346000,4348000,4352000,4358000,4757000,,4760000,4767000,4778000,5985000,5991000,6002000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DividendsPayableCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8510000,,8493000,,8412000,8310000,,8230000,,8213000,8129000,8088000,8079000,9625000,9613000,9614000,9556000,10625000,10607000,10610000,10616000,11721000,11743000,11733000,,11742000,,12634000,12607000,12533000,12125000,12113000,12098000,12021000,12019000
DividendsPayableCurrentAndNoncurrent,,,,,,,,,,,,,,,,,,,6002000,,6020000,6693000,6697000,6706000,6721000,,,9930000,,9299000,9086000,,,8889000,8733000,8649000,8571000,8527000,,8505000,8455000,8445000,8468000,8472000,8478000,8510000,,8493000,,8412000,8310000,,8230000,,,,,,,,,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,,5.13,1.7,1.56,5.8,0.63,,0.66,0.99,3.62,0.98,1.74,,1.6,4.35,1.98,2.27,2.14,2.45,,2.92,3.36,2.12,2.06,2.1,,,2.4,,0.93,1.67,,,1.29,1.19,0.52,-1.34,1.45,,1.86,1.25,3.12,1.73,2.03,1.56,-0.16,,1.74,,1.47,0.2,,0.8,,1.65,1.83,1.76,1.52,2,1.06,1.85,1.69,2.6,2.93,2.44,9.23,2.93,3.57,3.38,,11.77,,3.5,4.25,-2.34,6.85,4.35,4.94,4.13,17.31
EarningsPerShareDiluted,,5.04,1.69,1.53,5.73,0.62,,0.65,0.98,3.57,0.97,1.72,,1.59,4.33,1.96,2.24,2.12,2.43,,2.89,3.33,2.1,2.04,2.08,,,2.38,,0.92,1.66,,,1.28,1.19,0.52,-1.34,1.45,,1.85,1.24,3.1,1.72,2.01,1.55,-0.16,,1.72,,1.46,0.2,,0.8,,1.64,1.82,1.75,1.51,1.99,1.06,1.84,1.68,2.57,2.89,2.4,9.1,2.9,3.53,3.34,,11.62,,3.47,4.21,-2.34,6.78,4.32,4.91,4.11,17.19
EffectiveIncomeTaxRateContinuingOperations,,,,,0.322,,,,,0.36,,,,,0.02,,,,0.352,,,,,0.351,,,,,,,0.334,,,,,,0.51,,,,,0.191,,,,0.465,,,,,,,0.297,,,,,0.239,,,,0.257,,,,0.236,,,,,0.299,,,,,0.381,,,,0.252
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,0.35,,,,,0.35,,,,,0.35,,,,0.35,,,,,0.35,,,,,,,0.35,,,,,,0.35,,,,,0.35,,,,0.25,,,,,,,0.25,,,,,0.21,,,,0.21,,,,0.21,,,,,0.21,,,,,0.21,,,,0.21
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,,,,,,,,,,,,,,,,,,,,,,,,0.018,,,,,,,0,,,,,,0.077,,,,,0.01,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectiveIncomeTaxRateReconciliationDeductionsQualifiedProductionActivities,,,,,-0.012,,,,,-0.013,,,,,-0.023,,,,0.023,,,,,0.021,,,,,,,0.016,,,,,,0.038,,,,,0.02,,,,0.021,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,,,,-0.031,,,,,-0.034,,,,,-0.027,,,,-0.025,,,,,-0.024,,,,,,,-0.044,,,,,,-0.057,,,,,-0.048,,,,-0.041,,,,,,,-0.01,,,,,0.003,,,,-0.017,,,,-0.001,,,,,0.042,,,,,0.046,,,,0.015
EffectiveIncomeTaxRateReconciliationNondeductibleExpense,,,,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,0.113,,,,,0,,,,0,,,,,,,0.022,,,,,0,,,,0.024,,,,0,,,,,0,,,,,0.119,,,,0
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,,,,,,,,0.014,,,,,-0.011,,,,0.017,,,,,0.003,,,,,,,0.032,,,,,,0.036,,,,,0.023,,,,-0.006,,,,,,,0.017,,,,,0.012,,,,0.019,,,,-0.031,,,,,-0.016,,,,,-0.007,,,,0.019
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,,,0.025,,,,,0.018,,,,,0.015,,,,0.017,,,,,0.024,,,,,,,0.018,,,,,,0.031,,,,,0.017,,,,0.014,,,,,,,0.035,,,,,0.025,,,,0.035,,,,0.029,,,,,0.023,,,,,0.018,,,,0.022
EffectiveIncomeTaxRateReconciliationTaxContingencies,,,,,-0.001,,,,,0.004,,,,,-0.007,,,,-0.002,,,,,0.003,,,,,,,-0.002,,,,,,-0.001,,,,,-0.002,,,,-0.001,,,,,,,-0.003,,,,,-0.001,,,,0.002,,,,0.007,,,,,0.003,,,,,0.008,,,,-0.003
EffectOfExchangeRateOnCashAndCashEquivalents,,-5216000,1861000,3917000,4694000,-2300000,,-7644000,4845000,6926000,9076000,9870000,,,-3707000,,,,7185000,,-5872000,-20154000,-20207000,-27764000,5774000,,,10016000,,-5231000,-19604000,,,-12845000,-7806000,-26113000,-26596000,-2372000,,-6655000,-3478000,-20087000,7726000,16106000,23133000,28766000,,5442000,,-13000000,-15095000,,-15048000,,1568000,1567000,-3385000,,,,,,,,,,,,,,,,,,,,,,,
